Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,What else do you add to your coffee?,What kind of dairy do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?","Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
QA5JYA,25-34 years old,1,"At home, At the office, On the go","Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",,Regular drip coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Half and half,Sweet,Somewhat strong,Medium,Full caffeine,6,Coffee A,Coffee A,Coffee B,I primarily work from home,$40-$60,,,,,,,,,Female,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
Rz5BPj,25-34 years old,2,At a cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyDqva,18-24 years old,2,At the office,,,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer",,Oat milk,Nutty,Somewhat strong,Nordic,Full caffeine,4,,Coffee D,Coffee A,,,,,,,,,,,,,,,,
eB7QoJ,18-24 years old,3,At home,Pour over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24xzlg,18-24 years old,,At home,Other,Aeropress,,,Pourover,,No - just black,,,Bright,Somewhat light,Light,Full caffeine,6,,,,,,,,,,,,,,,,,,,
DVvoqX,35-44 years old,,"At the office, On the go, At home",Espresso,,Local cafe,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,Oat milk,Caramalized,Somewhat strong,Medium,Full caffeine,9,,,,,,,,,,,,,,,,,,,
1r2YJQ,25-34 years old,More than 4,"At the office, At home, At a cafe, On the go",Coffee extract (e.g. Cometeer),,"National chain (e.g. Starbucks, Dunkin), Specialty coffee shop, Local cafe",,Regular drip coffee,,No - just black,,,Bold,Very strong,,Full caffeine,8,,,,,,,,,,,,,,,,,,,
24xYOV,45-54 years old,1,At home,Pour over,,,,Regular drip coffee,,No - just black,,,Fruity,Medium,Light,Full caffeine,5,,,,,,,,,,,,,,,,,,,
AlbYao,18-24 years old,2,"At the office, At home","Pod/capsule machine (e.g. Keurig/Nespresso), French press",,,,Latte,,"Flavor syrup, Milk, dairy alternative, or coffee creamer",,Whole milk,Full Bodied,Somewhat strong,Medium,Full caffeine,7,,,,,,,,,,,,,,,,,,,
J2krYz,35-44 years old,1,"At home, At a cafe","Pour over, Espresso",,,,Pourover,,No - just black,,,Fruity,,Medium,Full caffeine,7,,,,,,,,,,,,,,,,,,,
WAp6ak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aBr18q,25-34 years old,3,"At home, On the go",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42NYWO,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6dQ08e,25-34 years old,1,"At a cafe, At home, On the go","Espresso, Cold brew, Pour over",,Specialty coffee shop,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,Chocolatey,Very strong,Medium,Full caffeine,7,,,,,,,,,,,,,,,,,,,
J2kj9J,18-24 years old,2,,"French press, Cold brew",,,,Iced coffee,,No - just black,,,,,,,,,,,,,,,,,,,,,,,,,,
8dpDNA,18-24 years old,3,,"Pour over, Espresso",,,,Pourover,,No - just black,,,,,,,,,,,,,,,,,,,,,,,,,,
EPbVlL,<18 years old,,At home,Pour over,,,,Regular drip coffee,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,7,,,,,,,,,,,,,,,,,,,
ylqbBg,45-54 years old,2,"At home, At the office, At a cafe, On the go","Pour over, French press, Espresso",,"Local cafe, Specialty coffee shop",,Regular drip coffee,,No - just black,,,Floral,Medium,Light,Full caffeine,8,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,,Yes,Yes,$4-$6,$8-$10,No,$500-$1000,Yes,Male,Master's degree,Other,Employed full-time,2,No affiliation
vNx6A4,18-24 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMB2og,,,,,,,,,,No - just black,,,,,,,,,,,,,,,,,,,,,,,,,,
qbEQPO,18-24 years old,3,"At the office, At home, At a cafe","Pour over, Cold brew, Other",Mokkapot,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,8,,,,,,,,,,,,,,,,,,,
9dJ0O5,25-34 years old,2,"At home, At the office, At a cafe","French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other",Moka pot,,,Cortado,,"No - just black, Milk, dairy alternative, or coffee creamer",,Whole milk,Fruity,Somewhat strong,Light,Full caffeine,5,,,,,,,,,,,,,,,,,,,
BGboZR,18-24 years old,3,"At home, At a cafe, On the go","Pour over, French press, Espresso, Other, Cold brew, Coffee brewing machine (e.g. Mr. Coffee)","Aeropress, moka pot.","Local cafe, Specialty coffee shop",,Espresso,,"No - just black, Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,Whole milk,Full Bodied,Medium,Light,Full caffeine,,,,,,,,,,,,,,,,,,,,
oAVNdO,>65 years old,1,At home,Pod/capsule machine (e.g. Keurig/Nespresso),,,,Regular drip coffee,,No - just black,,,Full Bodied,Somewhat strong,Dark,,2,Coffee C,Coffee D,Coffee C,,,,,,,,,,,,,,,,
YZzBdN,25-34 years old,2,"At home, At the office","Pour over, Espresso",,,,Pourover,,No - just black,,,Floral,Medium,Light,Full caffeine,10,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,,Yes,Yes,$2-$4,More than $20,Yes,$50-$100,Yes,Male,Master's degree,Asian/Pacific Islander,Unemployed,None,Independent
VZ17Z6,35-44 years old,1,"At the office, At home",Pour over,,,,Iced coffee,,No - just black,,,Fruity,Very strong,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,,Yes,Yes,$10-$15,More than $20,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,3,No affiliation
RzBeZj,45-54 years old,More than 4,At home,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Pourover,,No - just black,,,Full Bodied,Somewhat strong,Dark,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,,Yes,Yes,$10-$15,$15-$20,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,3,No affiliation
0Ej0GZ,35-44 years old,1,"At the office, At a cafe, At home","Pour over, Espresso, Other",Aeropress,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, No - just black",,"Skim milk, Oat milk",Nutty,Medium,Medium,Full caffeine,8,,,,,,,,,,,,,,,,,,,
eBxO4l,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WApbkQ,35-44 years old,2,"At a cafe, At home","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,Whole milk,Floral,Somewhat strong,Blonde,Full caffeine,4,Coffee A,Coffee A,Coffee A,I do a mix of both,$60-$80,,Yes,Yes,$6-$8,$4-$6,Yes,"More than $1,000",Yes,Male,Less than high school,Black/African American,Unemployed,2,Independent
0Ej0WA,45-54 years old,2,At home,"Coffee extract (e.g. Cometeer), Pour over",,,,Pourover,,No - just black,,,Fruity,Somewhat light,Light,Full caffeine,8,Coffee B,Coffee D,Coffee D,I primarily work from home,>$100,,Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,More than 3,Republican
9dJYlQ,35-44 years old,2,"At home, At the office",Other,Aeropress,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Half and half,Nutty,Somewhat strong,Medium,Full caffeine,2,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,,Yes,No,$4-$6,$6-$8,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
BGbJzQ,35-44 years old,1,"At home, At the office, On the go","Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",,"National chain (e.g. Starbucks, Dunkin)",,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",,"Whole milk, Half and half",Chocolatey,Medium,Light,Full caffeine,7,,,,,,,,,,,,,,,,,,,
OABqpR,25-34 years old,1,At home,French press,,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,Almond milk,Chocolatey,Medium,Medium,Half caff,7,Coffee B,Coffee D,Coffee B,,,,,,,,,,,,,,,,
bl41Zg,45-54 years old,Less than 1,At a cafe,,,,,Iced coffee,,Sugar or sweetener,,,Sweet,Somewhat strong,Medium,Half caff,2,Coffee C,Coffee A,Coffee D,I primarily work in person,<$20,,Yes,No,$8-$10,$8-$10,No,$20-$50,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,None,Democrat
GrBVrk,25-34 years old,1,On the go,,,Deli or supermarket,,Cold brew,,No - just black,,,Chocolatey,Somewhat strong,Medium,Full caffeine,1,Coffee B,Coffee A,Coffee C,,,,,,,,,,,,,,,,
WApbYk,35-44 years old,1,"At the office, At home",Other,Aeropress,,,Americano,,"Milk, dairy alternative, or coffee creamer",,"Oat milk, Soy milk",Nutty,Medium,Light,Full caffeine,7,Coffee A,Coffee D,Coffee D,I primarily work from home,,,Yes,Yes,$8-$10,$4-$6,Yes,$100-$300,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,1,No affiliation
eBxG20,35-44 years old,3,"At home, At the office","Espresso, Pour over, French press, Cold brew",,,,Espresso,,No - just black,,,Nutty,Somewhat strong,Medium,Half caff,8,Coffee A,Coffee D,Coffee C,I do a mix of both,$20-$40,,Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",No,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,2,Independent
24x9NA,25-34 years old,2,At home,"Pour over, Instant coffee, Cold brew",,,,Pourover,,"No - just black, Other",Occasionally I will add collagen powder if I made instant coffee ,,,,,,,,,,,,,,,,,,,,,,,,,
NAB2qB,25-34 years old,2,At home,Espresso,,,,Cortado,,No - just black,,,Chocolatey,Somewhat strong,Dark,Full caffeine,7,Coffee B,Coffee A,Coffee B,I primarily work from home,$60-$80,,Yes,No,$4-$6,$6-$8,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Democrat
RzBqoJ,35-44 years old,2,At home,"Espresso, Cold brew, Pour over",,,,Cold brew,,No - just black,,,Nutty,Medium,Light,Full caffeine,7,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
jB98xY,35-44 years old,Less than 1,On the go,,,Local cafe,,Espresso,,,,,Nutty,Very strong,Medium,Half caff,8,,,,,,,,,,,,,,,,,,,
LdMxB2,35-44 years old,2,"At the office, At home, On the go","Espresso, Cold brew",,Local cafe,,Iced coffee,,"Milk, dairy alternative, or coffee creamer",,"Oat milk, Soy milk",Full Bodied,,Medium,Full caffeine,6,,,,,,,,,,,,,,,,,,,
GrBOrz,25-34 years old,,,,,,,,,"Milk, dairy alternative, or coffee creamer, No - just black",,Oat milk,Chocolatey,Medium,Dark,,5,,,,,,,,,,,,,,,,,,,
5dqajd,25-34 years old,More than 4,"At home, At a cafe",Other,Areopress,,,Cappuccino,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,,Yes,Yes,$6-$8,More than $20,Yes,$300-$500,No,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
VZ1W0E,35-44 years old,More than 4,"At home, At a cafe","Pod/capsule machine (e.g. Keurig/Nespresso), Cold brew, French press, Pour over, Coffee brewing machine (e.g. Mr. Coffee)",,,,Espresso,,No - just black,,,Bold,Very strong,Medium,Full caffeine,8,Coffee A,Coffee A,Coffee A,I primarily work from home,>$100,,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,2,No affiliation
NABN5G,45-54 years old,More than 4,At home,"Pod/capsule machine (e.g. Keurig/Nespresso), Other",Aeropress ,,,Americano,,No - just black,,,Bold,Somewhat strong,Dark,Half caff,6,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,,Yes,Yes,$6-$8,$6-$8,No,$100-$300,Yes,Female,,,,,
6dQY8o,25-34 years old,2,"At home, At a cafe, On the go, At the office","Pour over, Espresso",,Specialty coffee shop,,Cappuccino,,No - just black,,,Juicy,Somewhat strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work in person,>$100,,Yes,Yes,More than $20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,Democrat
WAp6va,45-54 years old,More than 4,At home,"Espresso, Bean-to-cup machine, Pour over",,,,Espresso,,"Milk, dairy alternative, or coffee creamer",,Half and half,Bold,Somewhat strong,Dark,Full caffeine,8,Coffee B,Coffee D,Coffee B,I primarily work from home,$60-$80,,Yes,No,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Master's degree,Hispanic/Latino,Employed full-time,3,Independent
EPbVGA,25-34 years old,,"At home, At the office, At a cafe","Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",,,Chocolatey,Medium,Medium,Full caffeine,,Coffee A,Coffee A,,,,,,,,,,,,,,,,,
OABqQp,35-44 years old,2,"On the go, At a cafe, At the office",,,"Local cafe, National chain (e.g. Starbucks, Dunkin)",,Latte,,"Sugar or sweetener, Milk, dairy alternative, or coffee creamer, No - just black",,"Whole milk, Half and half, Flavored coffee creamer",Sweet,Very strong,Medium,Full caffeine,3,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,,Yes,Yes,$4-$6,$6-$8,Yes,$20-$50,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,None,No affiliation
DVvOop,35-44 years old,2,At home,Espresso,,,,Cold brew,,Other,Coconut,,Nutty,Somewhat strong,Dark,Full caffeine,5,,,,,,,,,,,,,,,,,,,
KMBrLz,25-34 years old,3,"At the office, At home","Pour over, French press, Espresso, Cold brew",,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer, No - just black",,Skim milk,Caramalized,Somewhat strong,Medium,Full caffeine,3,,,,,,,,,,,,,,,,,,,
jB9r21,25-34 years old,1,"At home, At a cafe","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,Chocolatey,Somewhat strong,Medium,Full caffeine,5,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,,Yes,No,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Democrat
pLPYLE,25-34 years old,2,"At the office, On the go",,,"Drive-thru, National chain (e.g. Starbucks, Dunkin)",,Iced coffee,,"Milk, dairy alternative, or coffee creamer",,Half and half,Caramalized,Very strong,Light,Full caffeine,8,Coffee A,Coffee A,Coffee A,I primarily work in person,$40-$60,,Yes,Yes,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
oAV8yX,35-44 years old,2,At home,Espresso,,,,Other,Flat white,"Milk, dairy alternative, or coffee creamer",,Whole milk,Floral,Somewhat strong,Light,Full caffeine,9,Coffee A,Coffee A,Coffee A,,,,,,,,,,,,,,,,
aBrp0W,18-24 years old,4,At home,"Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,,,Cold brew,,"No - just black, Sugar or sweetener, Milk, dairy alternative, or coffee creamer",,Flavored coffee creamer,Sweet,Medium,Light,Full caffeine,5,,,,,,,,,,,,,,,,,,,
g5NPxK,25-34 years old,2,"At home, At the office","Espresso, Pour over",,,,Cappuccino,,"No - just black, Milk, dairy alternative, or coffee creamer",,Oat milk,Fruity,Somewhat strong,Light,Full caffeine,9,Coffee C,Coffee D,Coffee D,,$40-$60,,Yes,Yes,$15-$20,$15-$20,No,"More than $1,000",Yes,Male,,,,,
bl41kE,25-34 years old,2,"At home, At a cafe, On the go","Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,"Specialty coffee shop, Drive-thru, Local cafe, National chain (e.g. Starbucks, Dunkin)",,Pourover,,"Milk, dairy alternative, or coffee creamer",,Half and half,Nutty,Somewhat strong,Light,Full caffeine,7,Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,,Yes,Yes,$10-$15,$10-$15,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
GrBO1z,45-54 years old,2,"At home, At the office","Pour over, French press",,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",,"Half and half, Whole milk",Chocolatey,Medium,Medium,Full caffeine,6,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,,Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,Master's degree,White/Caucasian,Employed full-time,2,Democrat
xdN8Q9,25-34 years old,2,"At home, At a cafe, On the go","Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",,Local cafe,,Pourover,,No - just black,,,Fruity,Very strong,Light,Full caffeine,8,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,None,Independent
vNx8Xv,35-44 years old,1,At home,French press,,,,Cold brew,,"Milk, dairy alternative, or coffee creamer",,Oat milk,Chocolatey,Medium,Medium,Full caffeine,6,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Female,Bachelor's degree,White/Caucasian,Unemployed,1,Democrat
dY2JPN,18-24 years old,2,"At home, At a cafe",Pour over,,,,Pourover,,"Milk, dairy alternative, or coffee creamer",,Coffee creamer,Nutty,Somewhat strong,Light,Full caffeine,6,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,,Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Male,,,,,
MAdjLE,35-44 years old,2,At home,"Espresso, Pour over",,,,Espresso,,No - just black,,,Fruity,Somewhat strong,Nordic,Full caffeine,9,Coffee A,Coffee D,Coffee D,I do a mix of both,>$100,,Yes,Yes,$15-$20,More than $20,Yes,"More than $1,000",Yes,Male,Doctorate or professional degree,White/Caucasian,Employed full-time,None,Democrat
6dQ6xo,25-34 years old,3,"At the office, At home","Espresso, Pour over",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Skim milk,Chocolatey,Somewhat strong,Medium,Full caffeine,7,Coffee C,Coffee A,Coffee C,I do a mix of both,$40-$60,,Yes,Yes,$10-$15,More than $20,No,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,None,Democrat
7d97lZ,25-34 years old,2,"At home, At the office",Coffee extract (e.g. Cometeer),,,,Americano,,No - just black,,,Full Bodied,Medium,Dark,Full caffeine,3,Coffee B,Coffee D,Coffee B,I do a mix of both,>$100,,Yes,Yes,$8-$10,$15-$20,Yes,$20-$50,No,Female,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,None,Democrat
0EjqPQ,25-34 years old,3,At home,Pour over,,,,Pourover,,No - just black,,,Fruity,Somewhat strong,Light,Full caffeine,7,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,,Yes,Yes,$8-$10,$15-$20,No,$300-$500,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,1,No affiliation
BGbJD4,25-34 years old,1,At the office,,,,,Pourover,,No - just black,,,Chocolatey,Medium,Light,Full caffeine,2,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,,No,Yes,$6-$8,More than $20,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,More than 3,Democrat
9dJYbp,25-34 years old,3,"At home, At the office","Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,,,Latte,,"Milk, dairy alternative, or coffee creamer, No - just black",,Whole milk,Chocolatey,Medium,Light,Full caffeine,8,Coffee A,Coffee A,Coffee D,I primarily work in person,$20-$40,,Yes,Yes,$15-$20,$10-$15,No,$100-$300,Yes,Male,Master's degree,Hispanic/Latino,Student,None,No affiliation
xdNbJ9,25-34 years old,1,"At home, On the go, At the office, At a cafe",Espresso,,"National chain (e.g. Starbucks, Dunkin)",,Espresso,,No - just black,,,Fruity,Very strong,Medium,Full caffeine,6,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,,Yes,Yes,$8-$10,$8-$10,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,None,Democrat
EPbVLl,45-54 years old,2,"At home, At the office, On the go",Pod/capsule machine (e.g. Keurig/Nespresso),,Local cafe,,Regular drip coffee,,No - just black,,,Full Bodied,Somewhat strong,Italian,Full caffeine,6,Coffee C,Coffee A,Coffee C,I primarily work from home,,,,,,,,,,,,,,,
pLPNQJ,35-44 years old,1,"At home, On the go",Pour over,,Local cafe,,Pourover,,No - just black,,,Chocolatey,Somewhat strong,Medium,Full caffeine,7,Coffee A,Coffee A,Coffee A,I do a mix of both,$40-$60,,Yes,Yes,$6-$8,$6-$8,No,$300-$500,Yes,Female,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,2,No affiliation
AlbMLW,25-34 years old,2,"At home, At a cafe","Pour over, Other",Aeropress,,,Iced coffee,,No - just black,,,Bright,Medium,Light,Decaf,7,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,,Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Independent
EPboPq,25-34 years old,3,At home,"Pour over, Cold brew",,,,Latte,,"Milk, dairy alternative, or coffee creamer",,Whole milk,Full Bodied,Medium,Medium,Full caffeine,3,Coffee A,Coffee A,Coffee C,I primarily work in person,>$100,,Yes,Yes,$15-$20,More than $20,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,None,No affiliation
ylq8yW,25-34 years old,3,"At home, At the office, On the go, At a cafe","Espresso, Coffee brewing machine (e.g. Mr. Coffee)",,"Local cafe, National chain (e.g. Starbucks, Dunkin)",,Americano,,No - just black,,,Full Bodied,Somewhat strong,Light,Full caffeine,7,Coffee C,Coffee D,Coffee C,I do a mix of both,$20-$40,,Yes,Yes,$8-$10,$10-$15,No,$20-$50,Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,None,Democrat
